Class,Element,Shape,QNT,Value,Condition,Treatment,Fabrication
,0.6,(Nd1−xDyx)2Fe14B nanoparticles,saturation magnetization,112.8 emu/g,,,
,x=0.5,,remanent magnetization,124.4 emu/g,,,
,x=0.1,(Nd1−xDyx)2Fe14B nanoparticles,saturation magnetization,166.5,,,
,0.2,(Nd1−xDyx)2Fe14B nanoparticles,saturation magnetization,155.4,,,
,0.3,(Nd1−xDyx)2Fe14B nanoparticles,saturation magnetization,123.9,,,
,0.4,(Nd1−xDyx)2Fe14B nanoparticles,saturation magnetization,103.3,,,
,0.5,(Nd1−xDyx)2Fe14B nanoparticles,saturation magnetization,133.8,,,
,x=0.3 0.4 0.6,(Nd1−xDyx)2Fe14B nanoparticles,maximum squareness ratio,0.99,,,
,x=0,(Nd1−xDyx)2Fe14B nanoparticles,coercivity,2.9 kOe,,,
,x=0.4,(Nd1−xDyx)2Fe14B nanoparticles,coercivity,13.4 kOe,,,
,x=0.6,(Nd1−xDyx)2Fe14B nanoparticles,coercivity,5.6 kOe,,,
,x=0.1,(Nd1−xDyx)2Fe14B nanoparticles,maximum saturation magnetization,166.5 emu/g,,,
,,(Nd1−xDyx)2Fe14B nanoparticles,maximum squareness ratio,0.99,,,
bulk magnets made at ε=6.2,,,(BH)max,17.8 MGOe,room temperature,,
bulk magnets made at ε=6.2,,,Hc,7.2 kOe,room temperature,,
directly annealed partially amorphous (Nd-Pr)-Fe-Co-Nb-B,,,(BH)max,12.2 MGOe,room temperature,,
directly annealed partially amorphous (Nd-Pr)-Fe-Co-Nb-B,,,Hc,6.2 kOe,room temperature,,
,,initial sample,coercivity,1040 kA m−1,,,
,,annealed,coercivity,1450 kA m−1,,sample 900 °C,
,,annealed,remanent magnetization,1.37 T,,sample 900 °C,
,,initial sample,remanent magnetization,1.39T,,,
,,sample,remanent magnetization,1.31 T,,annealed 950 °C,
original N48M magnets,,,coercivity Hci,1114 kA/m,,,
original N48M magnets,,,remanence Br,1.39 T,,,
original N48M magnets,,,maximum energy product (BH)max,370 kJ/m3,,,
Ce3Fe12Co2B alloy,,,Br,5.2 kGs,,,
Ce3Fe12Co2B alloy,,,Hcj,4.9 kOe,,,
Ce3Fe12Co2B alloy,,,(BH)max,4.4 MGOe,,,
Ce3Fe12Co2B alloy,,,Tc,516 K,,,
,,Ce3Fe9Co5B samples,Tc,∼ 660 K,,,
,,(Nd0.8Ce0.2)2.4Fe12Co2B ribbon,coercivity,7.6 kOe,450 K,,
"core-shell structured (Ce,Nd)2Fe14B hot deformed magnets",,,coercivity,0.25 kOe,,,
"core-shell structured (Ce,Nd)2Fe14B hot deformed magnets",,,coercivity,5.15 kOe,,Nd-Cu infiltration,
,,as-melt-spun ribbons Ce13Fe79B8 ribbons,Low coercivities,∼0.2 T,,,
,,annealed ribbons Ce13Fe79B8 ribbons,Low coercivities,∼0.2 T,,,
,,Ce13Fe79B8 ribbons,coercivity,over 0.7 T,,diffusion process,
,,as-melt-spun Ce13Fe79B8 ribbons,coercivity,∼0.2 T,,,
,,,coercivity,over 0.7 T,,diffusion-processing Nd70Cu30 and Nd80Ag20 alloys,
,,,remanence,1.44 T,,,
,,Nd12.5Fe80Nb0.2Al1.0Cu0.1B6.2 powders powders,maximum energy product,336 kJ/m3,,,
,,,coercivity,920 kA/m,,,
,,modified HDDR Nd12.8Fe79.6Nb0.2Al1.0Cu0.1Ga0.1B6.2 powders,remanence,1.36 T,,,
,,HDDR powders,coercivity,1440 kA/m,,modification treatment,
,,anisotropic Dy-free Nd14Fe80Zr0.1Al2Cu0.1Ga0.5B6.2 powders,high coercivity,1590 kA/m,,,HDDR process
,,anisotropic Dy-free Nd14Fe80Zr0.1Al2Cu0.1Ga0.5B6.2 powders,remanence,1.22 T,,,HDDR process
,,HDDR powders,coercivity,920,,,
TbF3-coated sintered Nd–Fe–B magnets,1.24 wt.% Tb,,maximum coercivity,about 1946 kA/m,,,
,,sample,coercivity,1642.8 kA/m,,diffusing Pr68Cu32 alloy,
,,sample,coercivity,1402.7 kA/m,,Dy70Cu30,
commercial Nd-Fe-B sintered magnets,about 10 wt% Dy,,coercivity,around 0.8 T,operation temperature 200 °C,,
commercial Nd-Fe-B sintered magnets,,,room temperature coercivity,higher than 3 T,,,
hot-deformed Nd-Fe-B magnet,,,coercivity,2.75 T,room temperature,eutectic grain boundary diffusion process Nd62Dy20Al18 alloy,
Nd-Dy-Al diffusion-processed magnet,,,coercivity,0.91 T,180 °C,,
,,Dy-vapor diffusion-processed Nd-Fe-B hot-deformed sample,coercivity,1.0 T,,,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,coercivity,4.56 kOe,,,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,coercivity,6.73 kOe,,electron beam exposure conditions,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,remanence ratio,0.75,,,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,remanence ratio,0.79,,electron beam exposure conditions,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,remanence ratio Mr/Ms,0.75,,conventional annealing conditions 730 °C 15 min,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,coercivity Hc,4.56 kOe,,conventional annealing conditions 730 °C 15 min,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,coercivity Hc,6.73 kOe,,exposed to the electron beam annealing time 0.1 s,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,remanence ratio Mr/M,0.79,,exposed to the electron beam annealing time 0.1 s,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,coercivity Hc,2.82 kOe,,conventional annealing conditions 760 °C 15 min,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,coercivity,4.90 kOe,,electron beam conditions,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,remanence ratio Mr/M,up to 0.75,,electron beam conditions,
Nd10Fe83.3B6.2Nb0.2Ga0.3 alloy,,,remanence ratio Mr/Ms,0.69,,conventional annealing conditions 760 °C 15 min,
