Phrase,Frequency
Nd_(_FeCoAl_)_B,2
deposited_on_Nd_Dy_Fe_Co_B_layer,2
Nd_Fe_B_based_alloy,2
Nd_Fe_Co_B_M_ribbon,2
Nd_oxide,2
Fe_/_Nd_Fe_B_magnet,2
Nd_Fe_B_based_permanent_magnet,2
"Nd_,_Sm",2
"Nd_,_Y",2
maximum_value_of_0_kOe,2
Nd_Fe_B_bonded_magnet,2
Nd_Fe_B_bulk_magnet,2
Nd_addition,2
H_=_0_MA_/_m,2
coercivity_value_of_0_kA_/_m,2
Nd_Zr_Fe_Co_B,2
Nd_Fe_Cu_B,2
Nd_Fe_B_composite_film,2
Nd_Fe_B_compound,2
grain_size_of_about_0_0_nm,2
coercivity_be_0_kA_/_m,2
Pr_Co_C_/_Pr_Co_C,2
grain_of_Nd_Fe_B_phase,2
Fe_/_Nd_Fe_B_based_magnet,2
Nd_Fe_B_film_magnet,2
0_mg_/_cm_2,2
"Pr_(_Fe_,_Co_)_B",2
Nd_Ce_Fe_B_sintered_magnet,2
"Fe_,_Zr_,_B_,_Cu",2
Nd_Fe_Ga_B_/_Fe_Co_magnet,2
melt_spinning_at_wheel_speed,2
"Pr_,_Nd_,_Dy",2
coercivity_mechanism_of_α_Fe_/_Nd_Fe_B_nanocomposite_magnet,2
Nd_Co_alloy,2
"Co_,_Dy",2
energy_product_and_remanence,2
Nd_Fe_M_B_magnet,2
Cr_or_V,2
Nd_Pr_Fe_B_melt_spun_powder,2
Ga_added_ribbon,2
Ga_added,2
Cr_for_Fe,2
from_0_to_0_m_/_s,2
Pr_Cu_diffusion_processed_magnet,2
Nd_Fe_Nb_B_alloy,2
NdFeB_ribbon,2
magnetic_property_of_composite,2
Fe_Zr_C_ribbon,2
coercivity_mechanism_of_α,2
Nd_Fe_B_melt_spun_ribbon,2
Nd_Fe_Si,2
Pr_Fe_B_Mn_ribbon,2
Co_Sm,2
magnetic_moment_in_GB_phase,2
Dy_layer,2
Dy_Ga_alloy,2
deformation_ratio,2
Nd_Dy_Al_diffusion_processed_magnet,2
Nd_Dy_Al_diffusion_processed_sample,2
Nd_Fe_B_Nb_rod,2
magnetic_material_Nd_Fe_B,2
magnetic_ion,2
Nd_Fe_Ti_B_alloy,2
Nd_Dy_Cu,2
Nd_rich_alloy,2
Fe_Nd_B_heated_at_0_K,2
Dy_content_of_0_wt_%,2
Cr_C,2
Nd_Fe_Ti_C_B_alloy,2
Nd_Dy_Fe_Co_B_layer,2
Nd_Fe_B_Pr_Fe_B,2
Nd_rich_GB_phase,2
Nd_Dy_Fe_Co_Ga_B,2
Dy_coated_surface,2
"M_=_Co_,_Cu",2
deformation_processed,2
Cr_atom,2
diffusion_coefficient_of_Dy,2
Nd_rich_magnetic_powder,2
Fe_moment,2
Fe_magnetic_moment,2
Ce_in_(_Nd_Ce_)_Fe_B,2
Dy_=_0_wt_%_and_O_=_0_wt_%,2
Nd_rich_Nd_Fe_B_powder,2
maximum_energy_product_of_rare_earth,2
curie_temperature_of_about_0_°C,2
Dy_/_Tb,2
Nd_Fe_B_type_permanent_magnet,2
Ce_free,2
Ce_Fe_Co_B_alloy,2
Ce_Fe_B_material,2
produced_via_standard_HDDR_process,2
pure_Nd_Fe_B,2
R_=_0_nm,2
"R_=_Pr_,_Pr_+",2
large_saturation_magnetization,2
R_Zr_Co,2
rare_earth_eutectic_alloy,2
Ce_and_Nd,2
Ce_/_La,2
RE_and_B_content,2
RE_atom,2
"RE_Cu_(_RE_=_Pr_,_Nd_)",2
"Ce_,_La",2
RE_Fe_B_/_α_Fe,2
cast_without_magnetic_field_to_B,2
RE_Fe_C,2
carbon_content,2
RE_rich_intergranular_phase,2
B_rich_alloy,2
B_of_0_T,2
B_=_0_0_T,2
annealing_temperature_to_0_°C,2
annealing_at_temperature,2
anisotropic_sample,2
anisotropic_Nd_Fe_B_composite_film,2
anisotropic_Nd_Fe_B_composite,2
amount_of_soft_magnetic_phase,2
remanence_of_film,2
remanence_of_J_=_0_T,2
amount_of_Fe,2
remanence_reaches_maximum_value,2
remanence_temperature_coefficient,2
alloy_rod,2
alloy_be_prepared_by_melt_spinning,2
room_temperature_value,2
Al_concentration,2
melt_spun_Nd_Fe_B_powder,2
melt_spun_Nd_Fe_B_ribbon,2
aging_temperature,2
addition_of_V,2
addition_of_Fe,2
sample_milled,2
large_diameter_of_0_mm,2
saturation_field,2
addition_of_0_wt_._%,2
saturation_magnetic_polarization_J,2
saturation_magnetization_(_M_),2
saturation_magnetization_4πM,2
saturation_magnetization_in_nanocomposite_film,2
above_0_T,2
above_0_kJ_/_m,2
about_0_kJ_/_m_3,2
about_0_0_T,2
sintering_time,2
0_wt_._%_Nd_Fe_B,2
0_wt_._%_Nd_Dy_Fe_B,2
"Sm_(_Co_,_M_)_grain",2
0_wt_%_0_wt_%,2
Sm_(_CoFe_)_ribbon,2
"Sm_(_Fe_,_M_)",2
magnetic_soft_phase,2
0_nm_to_0_nm,2
Sm_Co_based_magnet,2
Sm_Co_Cu_Fe_Zr_alloy,2
0_MGOe_for_steel,2
Sm_Co_Fe_Cu,2
Sm_Co_Fe_Zr_B_Cu,2
Sm_Co_magnet,2
0_MGOe_for_Ga,2
0_MG_Oe_be_obtained_in_Pr_Fe_Co_B_C,2
Sm_doped_ribbon,2
0_kOe_at_0_°C,2
0_kA_/_m_at_T_=_0_K,2
Sm_Fe_Cu_Ga_C_ribbon,2
Sm_Fe_N_ribbon,2
melt_spun_Sm_(_CoFeCuZr_)_ribbon,2
Sm_Fe_Si_C,2
Sm_Fe_Ti_ribbon,2
SmCo_/_Fe_system,2
0_at_._%_Nb,2
0_at_%_MRE,2
SmCo_and_α_Fe,2
SmCo_Fe_ribbon,2
SmCo_Nb,2
0_and_0_nm,2
SmCo_single_phase,2
SmCo_sintered_magnet,2
SmCo_Zr_ribbon,2
SmFe_M,2
0_0_wt_%,2
SPS_treated_magnet,2
0_°C_0_h,2
strontium_hexaferrite,2
substituting_Fe,2
substituting_for_Nd,2
0_×_0_-_3_Pa,2
substitution_of_Cr,2
0_%_of_R_Zr,2
0_%_of_R,2
0_%_of_O_Zr,2
0_%_of_O,2
T_<_0_K,2
T_>_0_K,2
Ta_free,2
>_0_kA_/_m,2
>_0_%,2
<_0_°C,2
temperature_coefficient_of_Br,2
~_0_wt_%,2
~_0_MA_/_m,2
~_0_g_/_cm_3,2
temperature_coefficient_of_α_and_β,2
~_0_%_°C_-_1,2
thermal_stability_of_Nd_Ce_Fe_B_alloy,2
(_PrNd_)_Fe_B,2
"(_Pr_,_Nd_)_Fe_B",2
magnetic_spacer_layer,2
"Ti_substituted_Pr_(_Fe_,_Co_)",2
(_NdPr_)_Fe_B,2
magnetization_in_nanocomposite,2
J_/_J,2
value_of_0_kG,2
value_of_4π_M,2
value_of_energy_product,2
(_Nd_Ce_)_Fe_Zr_B_alloy,2
(_Nd_Ce_)_Fe_CoB,2
HREE_grain_boundary_diffusion_process,2
HRE_free,2
value_of_temperature_coefficient,2
(_Nd_Ce_)_Fe_Co_B_alloy,2
"(_Nd_,_Tb_)_Fe_B",2
wheel_surface,2
without_Hf,2
Mo_and_Ta,2
Zn_addition,2
"(_Nd_,_Pr_)_Ce_Fe_M_B",2
α_Fe_/_Nd_Fe_B_magnet,2
"(_Nd_,_Dy_)_Fe_B_magnet",2
"(_Nd_,_Dy_)_Fe_B_layer",2
"(_Nd_,_Dy_)_Fe_B_core",2
α_Fe_multilayer_film,2
(_La_Nd_)_Fe_B,2
MRE_content,2
(_Fe_Co_)_B_alloy,2
μ_H_be_0_T,2
"(_Fe_,_Co_)_B_magnet",2
doped_SFO_SrFe_Al_O,1
Nd_Fe_Co_B_and_Pr_Fe_Co_B_system,1
doped_Nd_Fe_B_sample,1
Nd_Fe_Co_B_Ga_powder,1
Nd_Fe_Co_B_M_alloy,1
Nd_Fe_Co_B_Nb_alloy,1
doped_Nd_Fe_B_magnet,1
Nd_Fe_Co_Ga_B_alloy,1
Nd_Fe_Cu_B_magnet,1
Nd_Fe_Dy_B_magnet,1
doped_(_Nd_Ce_)_Fe_Co_B,1
"M_=_Ag_,_Si_,_Hf_,_Ga_,_Cu",1
Nd_Fe_Ga_B_powder,1
diffusion_processed_Nd_Fe_B_magnet,1
Nd_Fe_M_B_alloy,1
Nd_Fe_MCB_ribbon,1
Nd_Fe_Mn_B,1
Nd_Fe_Nb_Al_Cu_B_powder,1
diffusion_processed_Nd_Fe_B_layer,1
M_(_Nd_Fe_B_)_ribbon,1
Nd_Fe_Nb_B_nanocomposite,1
Nd_Fe_Si_ribbon,1
Nd_Fe_system,1
diffusion_processed_Nd_Fe_B_hot_deformed_sample,1
Nd_Fe_Ti_B_bulk_magnet,1
diffusion_processed_Ce_Fe_B_based_magnet,1
Nd_Fe_Ti_C_B_bulk_nanocomposite_magnet,1
diffusion_coefficient_of_various_temperature,1
Nd_Fe_Ti_M_B_magnet,1
Nd_Fe_Ti_Zr_B_alloy,1
Nd_Fe_Ti_Zr_B_C_magnet,1
Nd_Fe_Ti_Zr_B_magnet,1
die_upset_magnet_of_(_Nd_Ce_)_Fe_Co_B,1
Nd_Fe_Ti_Zr_Cr_B_C_alloy,1
Nd_Fe_Ti_Zr_Cr_B_C_bulk_magnet,1
Nd_Fe_Zr_Al_Cu_Ga_B_powder,1
Nd_Fe_Zr_B_C_ribbon,1
die_upset_(_Pr_Sm_)_Co_C_magnet,1
diameter_of_magnet,1
diameter_=_0_mm,1
Nd_Nb_Fe_B_ribbon,1
Nd_oxide_layer,1
Nd_poor_Nd_Fe_B_powder,1
Nd_Pr_B_Cu_Al_Co_Fe,1
Nd_Pr_Ce_Fe_B_melt_spun_ribbon,1
Nd_Pr_Ce_Fe_B_ribbon,1
Nd_Pr_Dy_Fe_Al_Co_Ga_B,1
Nd_Pr_Dy_Fe_B_Co_Al_Cu,1
Nd_Pr_Dy_Fe_Ga_Zr_Al_Co_Cu_B_C_O,1
Nd_Pr_Fe_B_alloy,1
Nd_Pr_Fe_B_Ga_Cu_sintered_magnet,1
Nd_Pr_Fe_B_melt_spun_ribbon,1
Nd_Pr_Fe_Co_B_Ga_Cu,1
Nd_Pr_Fe_Co_B_Nb_Al_Cu_sintered_magnet,1
Nd_Pr_Fe_Co_B_ribbon,1
Nd_Pr_Fe_Co_Ga_Al_B,1
Nd_PrFe_B_alloy,1
Nd_rich_composition,1
D_of_0_μ_m,1
curie_temperature_(_T_)_of_single_magnet,1
Nd_rich_phase_on_Nd_Fe_B_grain,1
Nd_site,1
Nd_substituted_La_Fe_B,1
Cu_rich,1
Nd_Y_Fe_Zr_B_bulk_magnet,1
Nd_Zr_Fe_Co_B_alloy,1
NdCu_/_Nd,1
NdFe_B,1
Cu_doped_Nd_Fe_B_sintered_magnet,1
NdFeB_/_Co,1
NdFeB_/_Fe_Co_composite,1
NdFeB_/_Fe_composite,1
NdFeB_powder,1
nearly_0_°C,1
Cr_containing_Nd_Fe_Ti_Zr_Cr_B_C_magnet,1
Cr_C_content,1
Cr_and_Mo,1
Cr_/_Mo,1
melt_spun_(_Nd_Ce_)_Fe_Co_B,1
poor_Nd_Fe_B_powder,1
coercivity_of_SFAO,1
"Pr_(_Co_,_Cu_)",1
Pr_Al_Ni_Cu_alloy,1
Pr_Al_Ni_Cu_ribbon,1
Pr_Co_/_Co_multilayer_prepared_by_sputtering,1
Pr_Co_/_Pr_Co,1
Pr_Co_alloy,1
Pr_Co_B,1
Pr_Co_B_with_coercivity_of_0_T,1
Co_Zr_Si_B_system,1
Co_Zr_Si_B_melt_spun_ribbon,1
Co_Zr_B_system,1
Pr_Co_C_ribbon_be_0_kOe,1
Pr_Co_thin_film,1
Co_Zr_B_ribbon_prepared_by_melt_spinning,1
Co_TM_alloy,1
Co_substitution_with_optimized_melt_spinning,1
Co_substituting,1
Pr_Cu_diffusion_processed_hot_deformed_magnet,1
Co_Sm_/_Fe_Co,1
Co_Nd_Fe_B_alloy,1
Pr_Cu_sample,1
Pr_Cu_system,1
melt_spun_(_Nd_La_)_Fe_B_alloy,1
Pr_Dy_Fe_B_magnet,1
Co_doped_Nd_Fe_B,1
Co_concentration_in_Ce_Fe_Co_Ti,1
melt_spun_(_Nd_La_)_Fe_Cr_B_alloy,1
Pr_Fe_B_based_magnet,1
Pr_Fe_B_Cu_ribbon,1
Co_(_Nd_Ce_)_Fe_Co_B_alloy,1
melt_spun_alnico,1
Ce_substituted_Nd_Fe_B_ribbon,1
Ce_substituted_Nd_Fe_B_based_alloy,1
Ce_substituted_Nd_Fe_B_alloy,1
melt_spun_Ce_Fe_B_powder,1
Pr_Fe_C_B_ribbon,1
Pr_Fe_C_nanocomposite,1
Pr_Fe_C_type_ribbon,1
Ce_Nd_Fe_B_powder,1
melt_spun_Ce_Fe_B_ribbon,1
Pr_Fe_Co_B_C_ribbon,1
Pr_Fe_Co_B_system,1
melt_spun_Fe_Nd_B_ribbon,1
Pr_Fe_Nb_B_ribbon,1
Pr_Fe_Ti_B_alloy,1
Ce_Nd_Fe_B_magnet,1
Ce_Nd_Ce_Fe_B_ribbon,1
Pr_free,1
Pr_or_Nd,1
(_BH_)_values,1
melt_spun_magnet,1
Pr_substitution_for_Nd,1
melt_spun_MM_Fe_B_alloy,1
Ce_Fe_CoTi_melt_spun,1
PrCo_Ti_alloy,1
PrNd_Cu_alloy,1
melt_spun_MM_Fe_B_ribbon,1
Ce_Fe_Co_B_sample,1
"(_Ce_,_Nd_)_Fe_B_hot_deformed_magnet",1
(_Ce_Pr_Nd_)_Fe_B_sintered_magnet,1
"melt_spun_MRE_(_Fe_,_Co_)_B_ribbon",1
"(_Dy_,_Nd_)_Fe_B",1
Ce_Fe_B_layer,1
pure_Ce_Fe_B_alloy,1
pure_Ce_Fe_B_magnet,1
(_Dy_/_Tb_)_Fe_B,1
pure_TbCu_type_structure,1
"R_(_Fe_,_M_)_compound",1
"R_(_Fe_,_Ti_)",1
"(_Fe_,_Co_)_B_/_Nd_Fe_B_nanocomposite",1
"R_=_La_,_Ce",1
MRE_Fe_B_based_nanocomposite,1
"R_=_Y_,_La_,_Pr_,_Nd_,_Sm",1
"R_=_Y_,_Pr",1
R_Ce_Fe_B_alloy,1
Ce_Fe_B_Hf_alloy,1
Ce_Fe_B_core,1
"R_Fe_B_(_R_=_Nd_,_Ce_)",1
"R_Fe_B_(_R_=_Nd_,_Dy_)",1
"R_Fe_B_(_R_=_Nd_,_Dy_)_phase",1
"R_Fe_C_(_R_=_Pr_,_Nd_)_alloy",1
melt_spun_Nd_Co_B_ribbon,1
hot_deformed_Nd_Fe_B_bulk_magnet,1
R_Fe_M_B_magnet,1
R_Nd_Fe_B_alloy,1
hot_deformed_magnet_sample,1
Ce_Fe_B_compound,1
rare_earth_(_MRE_)_Fe_B,1
Ce_Fe_B_(_B_)_sample,1
Ce_doped_RE_Fe_B_magnet,1
Ce_doped_Nd_Fe_B_alloy,1
hot_deformed_(_NdDy_)_Fe_Nb_B_magnet,1
melt_spun_Nd_Fe_B_/_Fe_Co_ribbon,1
Ce_doped_(_Nd_Ce_)_Fe_B_alloy,1
hot_deformation_technique,1
"RCo_(_R_=_Sm_,_Pr_)_magnet",1
multilayer_Si,1
RE_=_Nd_or_Dy,1
"RE_=_Y_,_Ce_,_La_,_Pr_,_Nd",1
Nb_/_Ta,1
Ho_and_Er,1
RE_Co_B_compound,1
RE_Co_compound,1
"Ce_,_Pr_,_Nd",1
Nb_and_Ta,1
"Ce_,_Pr_,_Co",1
Nb_and_Ti,1
"RE_Fe_B_(_RE_=_Nd_,_Ce_,_Pr_,_Tb_,_Dy_,_Y_)",1
magnetic_property_of_Sm_Fe_Si_C,1
RE_Fe_B_alloy,1
RE_Fe_B_based_alloy,1
Hf_Co_alloy,1
RE_Fe_B_sintered_magnet,1
RE_Fe_B_system,1
carbon_free_ribbon,1
magnetic_property_of_rod,1
RE_Fe_C_system,1
magnetic_property_of_melt_spun_alnico,1
carbon_composition,1
Nb_substituted_Pr_Fe_Nb_B_magnet,1
Br_for_two_different_sample,1
between_waste_and_recycled_magnet,1
heavy_rare_earth_element_of_Dy,1
heat_treated_ribbon,1
Nd_(_Ce_Y_)_Fe_Al_Cu_B,1
applied_to_field,1
melt_spun_Nd_Fe_B_alloy,1
Nd_(_Co_Fe_)_B_melt_spun_ribbon,1
annealing_process_of_MnBi,1
Nd_(_Cu_)_Fe_B,1
"Nd_(_Fe_,_Al_)_B",1
"Nd_(_Fe_,_M_)_B_magnet",1
"Nd_(_Fe_,_M_)_compound",1
Nd_(_Fe_Co_)_B_alloy,1
HD_magnet_with_Nd_content,1
magnetic_property_of_Fe_B_based_nanocomposite,1
amount_of_Nd_Fe_B_powder,1
H_of_Nd_Fe_B_flake,1
alloy_with_substitution_of_C,1
"Nd_,_Mn_,_Si_,_Co_,_Dy_O",1
H_of_ferrite_magnet,1
alloy_with_height_reduction_rate,1
alloy_with_further_substitution,1
"Nd_,_Pr_rich",1
melt_spun_Nd_Fe_B_magnet,1
alloy_produced_by_melt_spinning,1
alloy_CeFe_Mo,1
room_temperature_(_BH_)_of_0_MGOe,1
Nd_/_Fe,1
H_of_0_0_kA_/_m,1
Nd_/_Pr_rich,1
Nd_Al_diffusion_processed_magnet,1
H_<_0_A_/_m,1
melt_spun_Nd_Fe_Co_Al_B_alloy,1
Nd_Al_Ni_Cu_alloy,1
grain_size_of_Zr_containing,1
addition_of_silicon,1
grain_size_of_melt_spun_SmCo,1
grain_size_in_magnet,1
Nd_based_Nd_Fe_B_magnet,1
grain_boundary_of_Nd_Fe_B_flake,1
grain_boundary_in_as_milled_flake,1
Nd_Ce_Fe_B_melt_spun_ribbon,1
addition_free,1
Nd_Ce_Fe_B_permanent_magnet,1
Nd_Ce_Fe_Co_B_alloy,1
melt_spun_Pr_Fe_B_Mn_ribbon,1
Nd_Ce_Fe_TM_B_based_alloy,1
giant_coercivity,1
"GBDP_of_(_Nd_,_Pr_)_H_powder",1
saturation_remanence,1
Si_content,1
melt_spun_Pr_Fe_Co_B,1
"sintered_(_Nd_,_Y_,_Dy_)_Fe_B_magnet",1
sintered_(_Nd_Ce_),1
melt_spun_Pr_Fe_Co_NbB_C_alloy,1
about_SmFe,1
sintered_ferrite,1
Nd_Co_Al,1
sintered_magnet_with_Dy_content,1
melt_spun_Pr_Fe_V_B_C_ribbon,1
Ga_or_Al,1
about_0_×_0_-_3_Pa,1
sintered_Nd_Pr_Fe_Co_B_Nb_Al_Cu_magnet,1
4πM_=_0_kG,1
melt_spun_Pr_Fe_VB_C_ribbon,1
sintered_single_alloy,1
sintered_Sm_(_CoFeCuZr_)_magnet,1
melt_spun_Pr_Fe_VB_ribbon,1
melt_spun_precipitation_hardened_magnet,1
0_πM_=_0_kG,1
0_π_M_=_0_kG,1
Nd_Co_B_alloy,1
"Sm_(_Co_,_Cu_)",1
0_wt_._%_ZrC,1
"Sm_(_Co_,_Cu_,_Fe_,_Zr_)_permanent_magnet",1
Nd_Co_diffusion_processed_film,1
"Sm_(_Co_,_Fe_)_ribbon",1
"Sm_(_Co_,_Fe_,_Cu_,_Zr_)_type_sintered_magnet",1
Nd_Co_Fe_Al_B,1
Ga_content,1
0_wt_%_RE_content,1
"Sm_(_Co_,_M_)_H_nanocluster",1
"Sm_(_Co_,_M_)_nanocluster",1
"Sm_(_Co_,_M_)_R",1
Sm_(_Co_Cu_)_Fe_M_ribbon,1
melt_spun_R_Fe_Ti_B_ribbon,1
Nd_Cu_after_HEBM,1
Sm_(_Co_Fe_Cu_Zr_)_magnet,1
Sm_(_Co_Fe_Cu_Zr_)_ribbon,1
Sm_(_Co_Fe_Cu_Zr_B_)_ribbon,1
Sm_(_Co_Fe_Cu_Zr_C_),1
Sm_(_Co_Fe_Zr_C_),1
0_to_0_K_/_s,1
Sm_(_CoFe_)_alloy,1
Sm_(_CoFe_)_alloy_with_single_phase,1
Nd_Cu_containing_film,1
Sm_(_CoFeCuZr_)_alloy,1
La_substitution_ribbon,1
Sm_(_CoFeMn_)_B_ribbon,1
Sm_(_CoZr_)_alloy,1
"Sm_(_Fe_,_Co_,_Ti_)_ribbon",1
FePr_(_BSi_)_alloy,1
"Sm_(_Fe_,_M_)_magnet",1
"Sm_(_Fe_,_Ti_)",1
Nd_Cu_diffusion_processed_hot_deformed_magnet,1
Fe_rich_alloy,1
0_nm_<_t_<_0_nm,1
Fe_Nd_B_sample,1
Sm_Co_compound,1
magnetic_moment_of_system,1
Nd_Cu_powder,1
Nd_Cu_type_alloy,1
Fe_Nd_B_permanent_magnet,1
melt_spun_ribbon_of_(_Nd_Ce_)_Fe,1
Sm_Co_layer,1
Fe_Nd_B_M_alloy,1
Sm_Co_melt_spun_ribbon,1
Nd_Dy_Al_diffusion_processed_hot_deformed_magnet,1
Sm_Co_powder,1
Nd_Dy_Al_grain_boundary_diffusion_process,1
melt_spun_ribbon_of_Nd_Fe_B,1
Sm_Co_type_magnet,1
0_kOe_at_T_=_0_K,1
melt_spun_Sm_(_Co_Cu_Fe_Zr_)_ribbon,1
Nd_Dy_Co_Cu_Fe_powder,1
Nd_Dy_Cu_alloy,1
Sm_Fe_Al,1
Sm_Fe_alloy,1
Sm_Fe_B,1
magnetic_anisotropy_in_deformed_sample,1
M_=_Ti_alloy,1
Sm_Fe_Cu_Si_C_ribbon,1
0_g_/_cm_3_to_0_g_/_cm_3,1
melt_spun_Sm_(_CoFeCuZr_)_magnet,1
Sm_Fe_Ga_C_based_nanocomposite,1
Sm_Fe_Ga_C_ribbon,1
Sm_Fe_M_C_material,1
Sm_Fe_N_(_C_),1
Sm_Fe_N_/_Fe_Co_composite,1
Sm_Fe_N_/_Fe_Co_nanocomposite_magnet,1
Fe_Nd_B_doped,1
"Fe_Nd_B_Cr_,_Fe_Nd_B_V",1
"melt_spun_Sm_Fe_(_Ga_,_Si_)_C_ribbon",1
Nd_Dy_Fe_Co_C_B_melt_spun_ribbon,1
Sm_Fe_Si_C_/_α_Fe,1
Sm_Fe_Si_C_ribbon,1
0_f_site,1
Nd_Dy_Fe_Co_Ga_B_magnet,1
Sm_Fe_Ti_V,1
Sm_Zr_(_Fe_Co_)_Ti_compound,1
Sm_Zr_(_Fe_Co_)_Ti_magnet,1
SmCo_/_Fe_(_Co_)_based_nanocomposite_magnet,1
Nd_Dy_Fe_Ga_B,1
Nd_Dy_Fe_Nb_B_alloy,1
melt_spun_Sm_Fe_Ga_Ti_V,1
"M_=_Ti_,_V_,_Cr_,_Zr",1
Nd_Dy_Fe_Ti_Nb_Co_B_ribbon,1
melt_spun_Sm_Fe_precursor,1
Nd_Dy_Fe_Zr_Nb_Co_B,1
0_at_%_compared_to_0_at_%_for_sintered_magnet,1
Nd_Fe_Al_alloy,1
SmCo_Nb_and_SmCo,1
SmCo_Nb_magnet,1
Nd_Fe_Al_B,1
0_and_0_MA_/_m,1
Fe_disperses_in_amorphous,1
Nd_Fe_Al_Cu_B,1
SmCo_Zr_C_ribbon,1
Nd_Fe_Al_ribbon,1
Nd_Fe_Al_system,1
SmFe_M_magnet,1
SmFe_TiV_ribbon,1
Fe_Co_Nd_Dy_B_alloy,1
Nd_Fe_B_/_Fe_/_Nd_Fe_B,1
0_0_kA_m_-_1,1
0_0_at_%_Nd,1
Nd_Fe_B_/_Fe_/_Nd_Fe_B_trilayer,1
0_°C_0_°C,1
Nd_Fe_B_/_Fe_B_alloy,1
"M_=_Ti_,_H",1
Nd_Fe_B_/_Fe_B_type_nanocomposite,1
Nd_Fe_B_/_FeCo_nanocomposite,1
"0_,_0_,_0_,_and_0_wt_._%",1
melt_spun_Sm_Fe_ribbon,1
"Nd_Fe_B_/_Sm_(_Co_,_Fe_)_magnet",1
substitution_of_Cr_for_Fe,1
Nd_Fe_B_/_Sm_(_Co_Fe_Cu_Zr_),1
"M_=_Mo_,_Nb_,_Ta_,_Ti_,_and_Zr",1
substitution_of_Nd_for_LaCe,1
substitution_of_Nd_of_total_RE,1
Fe_B_/_R_Fe_B_film,1
Fe_B_/_Nd_Fe_B_film,1
0_%_/_K_to_0_%_/_K,1
Fe_/_Pr_Fe_B_flake,1
>_0_MG_Oe,1
>_0_kJ_/_m_3,1
Nd_Fe_B_based_flake,1
Fe_/_Nd_Fe_B_multilayer_magnet,1
Ta_free_film,1
Ta_free_Nd_Fe_B_ribbon,1
Ta_ribbon,1
Nd_Fe_B_bulk_nanocomposite_magnet,1
>_0_GPa,1
La_Fe_B_type_magnet,1
magnetization_at_0_kOe,1
Tb_Fe_B_alloy,1
La_Fe_B_ribbon,1
Tb_or_Dy,1
TbCu_type_Sm_Zr_Fe_Co_N_material,1
La_Ce_Fe_B,1
>_0_at_._%,1
K_for_Si,1
Nd_Fe_B_C_Ti_Ga,1
<_0_MGOe,1
"M_=_Fe_B_,_Fe_B",1
Nd_Fe_B_core,1
<_0_%,1
Nd_Fe_B_Cu_Nb_ribbon,1
"Fe_/_Nd_Fe_B_,_Fe_B_/_Nd_Fe_B",1
Nd_Fe_B_Ga_Nb_powder,1
milling_or_melt_spinning_method,1
"Fe_,_Mo",1
J_max_J_(_H_),1
~_0_0_T,1
J_max_be_saturation_remanence,1
Nd_Fe_B_Hf_melt_spun_ribbon,1
[_Nd_Dy_]_Fe_B_alloy,1
"(_Si_,_Al_)_amorphous_ribbon",1
"(_R_=_Pr_,_Nd_,_Dy_)_ribbon",1
"(_PrNd_,_Tb_)_Fe_B",1
Mn_Al_alloy,1
(_PrNd_)_Fe_B_powder,1
Fe_(_Fe_B_)_magnet,1
"M_=_Cr_,_Nb_,_Ti_,_V",1
(_Pr_Sm_)_Co_C_magnet,1
thick_permanent_magnet,1
thin_crystalline_structure,1
(_Pr_Nd_)_Fe_B_alloy,1
thin_film_deposition,1
(_Pr_Nd_)_Cu_Fe_B,1
Mn_Al_C_RE_ribbon,1
Mn_Al_C_ribbon,1
"(_Pr_,_Nd_)_Fe_B_magnet",1
"Nd_Fe_B_M_(_M_=_Cr_,_Cu_)_nanocomposite_magnet",1
(_NdPr_)_Fe_B_ribbon,1
Mn_Al_C_ribbon_with_C,1
J_for_La_Fe_B_and_Ce_Fe_B,1
DyF_EPD_coated_sample,1
Nd_Fe_B_magnetic_powder,1
Dy_substituted_R_Fe_B_phase,1
"TM_=_Fe_,_Co_,_Ni",1
(_Nd_Y_Dy_)_Fe_B_alloy,1
Nd_Fe_B_material,1
"TM_=_Zr_,_Hf",1
melt_spinning_method_followed_by_annealing,1
(_Nd_Pr_)_Fe_Co_Nb_B,1
uniaxial_Ce_Fe_B,1
MnBi_powder,1
uniaxial_Nd_Fe_B_magnet,1
(_Nd_Pr_)_Fe_B_ribbon,1
(_Nd_La_)_Fe_Co_Cr_B_alloy,1
Nd_Fe_B_melt_spun_alloy,1
(_Nd_Dy_)_Fe_B_permanent_magnet,1
(_Nd_Dy_)_Fe_B_melt_spun_ribbon,1
Nd_Fe_B_melt_spun_material,1
(_Nd_Dy_)_Fe_B_magnet,1
(_Nd_Dy_)_Fe_B_compound,1
Dy_substituted_R_Fe_B,1
Dy_substituted_alloy,1
"Dy_substituted_(_Nd_,_Dy_)_Fe_B",1
Dy_Fe_B_alloy,1
Nd_Fe_B_Nd_Fe_B,1
(_Nd_Ce_)_Fe_Co_B_ribbon,1
Nd_Fe_B_O_C,1
Dy_containing_Nd_Fe_B_sintered_magnet,1
(_Nd_Ce_)_Fe_B_ribbon,1
Dy_containing_Nd_Fe_B_magnet,1
Nd_Fe_B_Pr_Fe_B_system,1
"(_Nd_,_RE_)_Fe_B",1
"(_Nd_,_Pr_,_Ce_)_Fe_B_melt_spun_powder",1
without_Dy_Ga_powder,1
Nd_Fe_B_Si_magnet,1
"(_Nd_,_Pr_)_H_powder",1
without_Nd_Cu,1
without_Nd_rich_phase,1
