Pattern,Phrase,Base_phrase,Relations,Frequency
<Element>_of_<Element>,amount_of_substitution,"(amount, substitution)","(0, 1)",1
<Element>_of_<Element>,amount_of_Zr,"(amount, Zr)","(0, 1)",1
<Shape>_with_<QNT>_of_<Value>,anisotropic_[_Nd_Fe_B_/_Ta_/_Fe_Co_/_Ta_]_nanocomposite_multilayer_film_with_coercivity_of_0_T,"(anisotropic_[_Nd_Fe_B_/_Ta_/_Fe_Co_/_Ta_]_nanocomposite_multilayer_film, coercivity, 0_T)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_),anisotropic_field_(_μ_H_),"(anisotropic_field, μ_H)","(0, 1)",1
<QNT>_(_<QNT>_),anisotropy_field_(_H_),"(anisotropy_field, H)","(0, 1)",1
<QNT>_=_<Value>,anisotropy_field_H_=_0_kOe,"(anisotropy_field_H, 0_kOe)","(0, 1)",2
<QNT>_=_<Value>,anisotropy_field_H_=_0_T,"(anisotropy_field_H, 0_T)","(0, 1)",1
<QNT>_of_<Class>,anisotropy_field_H_of_Ce_Fe_B,"(anisotropy_field_H, Ce_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,anisotropy_field_H_of_Dy_Fe_B,"(anisotropy_field_H, Dy_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,anisotropy_field_H_of_Dy_Fe_B_phase,"(anisotropy_field_H, Dy_Fe_B_phase)","(1, 0)",1
<QNT>_of_<Class>,anisotropy_field_H_of_Dy_substituted_R_Fe_B,"(anisotropy_field_H, Dy_substituted_R_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,anisotropy_field_H_of_Dy_substituted_R_Fe_B_phase,"(anisotropy_field_H, Dy_substituted_R_Fe_B_phase)","(1, 0)",1
<QNT>_(_<Value>_),anisotropy_field_ha_(_0_kOe_),"(anisotropy_field_ha, 0_kOe)","(0, 1)",1
<QNT>_=_<Value>,anisotropy_field_ha_=_0_kOe,"(anisotropy_field_ha, 0_kOe)","(0, 1)",1
<QNT>_in_<Element>,anisotropy_field_in_Nd,"(anisotropy_field, Nd)","(1, 0)",1
<QNT>_in_<Class>,anisotropy_field_in_Nd_Fe_B,"(anisotropy_field, Nd_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,anisotropy_field_of_(_Nd_Dy_)_Fe_B,"(anisotropy_field, (_Nd_Dy_)_Fe_B)","(1, 0)",2
<QNT>_of_<Value>,anisotropy_field_of_about_0_T,"(anisotropy_field, about_0_T)","(0, 1)",1
<QNT>_of_<QNT>,anisotropy_field_of_D,"(anisotropy_field, D)","(1, 0)",1
<QNT>_of_<Class>,anisotropy_field_of_Dy_Fe_B,"(anisotropy_field, Dy_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,anisotropy_field_of_Nd_Fe_B,"(anisotropy_field, Nd_Fe_B)","(1, 0)",2
<QNT>_of_<Shape>,anisotropy_field_of_Nd_Fe_B_matrix_phase,"(anisotropy_field, Nd_Fe_B_matrix_phase)","(1, 0)",1
<QNT>_of_<Shape>,anisotropy_field_of_Nd_Fe_B_phase,"(anisotropy_field, Nd_Fe_B_phase)","(1, 0)",1
<QNT>_of_<Class>,anisotropy_field_of_Pr_Fe_B,"(anisotropy_field, Pr_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,anisotropy_field_of_Pr_Fe_B_phase,"(anisotropy_field, Pr_Fe_B_phase)","(1, 0)",1
<QNT>_of_<Class>,anisotropy_field_of_R_Fe_B,"(anisotropy_field, R_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,anisotropy_field_of_Sm_Co,"(anisotropy_field, Sm_Co)","(1, 0)",2
<QNT>_of_<Class>,anisotropy_field_of_Zr_Co,"(anisotropy_field, Zr_Co)","(1, 0)",1
<QNT>_of_<Shape>,anisotropy_field_of_Zr_Co_phase,"(anisotropy_field, Zr_Co_phase)","(1, 0)",1
<Class>_be_<Value>,annealed_alloy_be_0_kA_/_m,"(annealed_alloy, 0_kA_/_m)","(0, 1)",1
<Treatment>_at_<Treatment>,annealed_at_0_°C,"(annealed, 0_°C)","(0, 1)",16
<Treatment>_at_<Treatment>,annealed_at_0_°C_<_T_<_0_°C,"(annealed, 0_°C_<_T_<_0_°C)","(0, 1)",1
<Treatment>_at_<Treatment>,annealed_at_0_0_°C,"(annealed, 0_0_°C)","(0, 1)",2
<Treatment>_at_<Treatment>,annealed_at_0_K,"(annealed, 0_K)","(0, 1)",3
<Treatment>_at_<Treatment>,annealed_at_various_temperature,"(annealed, various_temperature)","(0, 1)",3
<Treatment>_(_<Treatment>_),annealing_temperature_(_T_),"(annealing_temperature, T)","(0, 1)",1
<Treatment>_to_<Treatment>,annealing_time_to_0_h,"(annealing_time, 0_h)","(0, 1)",1
<Condition>_of_<Condition>,applied_field_of_0_kOe,"(applied_field, 0_kOe)","(0, 1)",1
<Condition>_of_<Condition>,applied_field_of_0_T,"(applied_field, 0_T)","(0, 1)",2
<Condition>_of_<Condition>,applied_magnetic_field_of_0_T,"(applied_magnetic_field, 0_T)","(0, 1)",1
<Value>_at_<Condition>,approximately_0_MA_/_m_at_room_temperature,"(approximately_0_MA_/_m, room_temperature)","(0, 1)",2
<Value>_at_<Condition>,around_0_T_at_operation_temperature,"(around_0_T, operation_temperature)","(0, 1)",1
<Value>_at_<Condition>,around_0_T_at_room_temperature,"(around_0_T, room_temperature)","(0, 1)",1
<Class>_be_<Value>,as_hot_deformed_magnet_be_0_T,"(as_hot_deformed_magnet, 0_T)","(0, 1)",1
<QNT>_(_<Value>_),B_(_0_K_),"(B, 0_K)","(0, 1)",3
<QNT>_(_<Value>_),B_(_0_kOe_),"(B, 0_kOe)","(0, 1)",1
<QNT>_(_<QNT>_=_<Value>_),B_(_hci_=_0_kOe_),"(B, hci, 0_kOe)","(0, 1), (1, 2)",2
<QNT>_~_<Value>,B_~_0_kG,"(B, 0_kG)","(0, 1)",1
<QNT>_of_<Shape>,B_and_(_BH_)_of_Nd_Pr_Fe_B_melt_spun_powder,"(B_and_(_BH_), Nd_Pr_Fe_B_melt_spun_powder)","(1, 0)",1
<QNT>_at_<Condition>,B_at_0_K,"(B, 0_K)","(0, 1)",2
<QNT>_at_<Condition>,B_at_T,"(B, T)","(0, 1)",1
<QNT>_be_<Value>,B_be_0_kOe,"(B, 0_kOe)","(0, 1)",1
<QNT>_for_<Class>,B_for_Nd_Fe_B,"(B, Nd_Fe_B)","(1, 0)",1
<QNT>_in_<Class>,B_in_Fe_Nd_B,"(B, Fe_Nd_B)","(1, 0)",1
<QNT>_in_<Class>,B_in_Nd_Fe_Al,"(B, Nd_Fe_Al)","(1, 0)",1
<QNT>_to_<Value>,B_to_0_T,"(B, 0_T)","(0, 1)",2
<QNT>_up_to_<Value>,B_up_to_0_K,"(B, 0_K)","(0, 1)",1
<Element>_with_<QNT>_of_<Value>,B_with_coercivity_of_0_T,"(B, coercivity, 0_T)","(0, 1), (1, 2)",1
<QNT>_=_<Value>,BH_=_0_kJ_/_m_3,"(BH, 0_kJ_/_m_3)","(0, 1)",1
<QNT>_of_<Class>,Br_of_(_Nd_Ce_)_Fe_Co_B,"(Br, (_Nd_Ce_)_Fe_Co_B)","(1, 0)",1
<Element>_(_<Element>_),Ce_(_0_wt_._%_),"(Ce, 0_wt_._%)","(0, 1)",1
<Element>_of_<Element>,Ce_content_of_0_%,"(Ce_content, 0_%)","(0, 1)",1
<Class>_be_<Value>,Ce_Fe_B_be_0_T,"(Ce_Fe_B, 0_T)","(0, 1)",1
<Element>_(_<Element>_),Co_(_0_wt_%_0_wt_%_),"(Co, 0_wt_%_0_wt_%)","(0, 1)",1
<Element>_(_<Element>_),Co_(_0_wt_._%_),"(Co, 0_wt_._%)","(0, 1)",1
<QNT>_(_<Value>_),coercive_field_(_~_0_MA_/_m_),"(coercive_field, ~_0_MA_/_m)","(0, 1)",1
<QNT>_be_<QNT>,coercive_field_be_μ_H,"(coercive_field, μ_H)","(0, 1)",1
<QNT>_of_<Value>,coercive_field_of_~_0_T,"(coercive_field, ~_0_T)","(0, 1)",1
<QNT>_of_<Value>,coercive_field_of_0_kA_/_m,"(coercive_field, 0_kA_/_m)","(0, 1)",1
<QNT>_of_<Value>,coercive_field_of_0_T,"(coercive_field, 0_T)","(0, 1)",1
<QNT>_of_<Shape>,coercive_field_of_grain,"(coercive_field, grain)","(1, 0)",1
<QNT>_of_<QNT>,coercive_field_of_H,"(coercive_field, H)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,coercive_field_of_H_=_0_kA_/_m,"(coercive_field, H, 0_kA_/_m)","(0, 1), (1, 2)",1
<QNT>_of_<Class>,coercive_field_of_Nd_Cu,"(coercive_field, Nd_Cu)","(1, 0)",1
<QNT>_of_<Shape>,coercive_field_of_Nd_Cu_infiltrated_sample,"(coercive_field, Nd_Cu_infiltrated_sample)","(1, 0)",1
<QNT>_up_to_<Value>,coercive_field_up_to_0_T,"(coercive_field, 0_T)","(0, 1)",1
<QNT>_(_<Value>_),coercivity_(_0_0_kA_/_m_),"(coercivity, 0_0_kA_/_m)","(0, 1)",1
<QNT>_(_<Value>_),coercivity_(_0_kA_/_m_),"(coercivity, 0_kA_/_m)","(0, 1)",1
<QNT>_(_<Value>_),coercivity_(_0_kOe_),"(coercivity, 0_kOe)","(0, 1)",3
<QNT>_(_<Value>_),coercivity_(_0_T_),"(coercivity, 0_T)","(0, 1)",1
<QNT>_(_<QNT>_)_of_<Value>,coercivity_(_H_)_of_0_kOe,"(coercivity, H, 0_kOe)","(0, 1), (1, 2)",3
<QNT>_(_<QNT>_)_of_<Value>_(_<Value>_),coercivity_(_H_)_of_0_kOe_(_0_kA_/_m_),"(coercivity, H, 0_kOe, 0_kA_/_m)","(0, 1), (1, 2), (2, 3)",1
<QNT>_(_<QNT>_)_of_<Value>,coercivity_(_H_)_of_0_T,"(coercivity, H, 0_T)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_=_<Value>_),coercivity_(_H_=_0_kA_m_-_1_),"(coercivity, H, 0_kA_m_-_1)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_=_<Value>_),coercivity_(_H_=_0_kOe_),"(coercivity, H, 0_kOe)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_),coercivity_(_β_),"(coercivity, β)","(0, 1)",8
<QNT>_(_<QNT>_),coercivity_(_μ_H_),"(coercivity, μ_H)","(0, 1)",3
<QNT>_at_<Condition>,coercivity_at_0_°C,"(coercivity, 0_°C)","(0, 1)",2
<QNT>_at_<Condition>,coercivity_at_operation_temperature,"(coercivity, operation_temperature)","(0, 1)",1
<QNT>_at_<Condition>,coercivity_at_room_temperature,"(coercivity, room_temperature)","(0, 1)",1
<QNT>_at_<Condition>,coercivity_at_temperature_range,"(coercivity, temperature_range)","(0, 1)",1
<QNT>_at_<Condition>,coercivity_at_temperature_T,"(coercivity, temperature_T)","(0, 1)",2
<QNT>_be_<Value>,coercivity_be_0_kOe,"(coercivity, 0_kOe)","(0, 1)",2
<QNT>_be_<Value>,coercivity_be_0_T,"(coercivity, 0_T)","(0, 1)",1
<QNT>_be_<Value>,coercivity_be_approximately_0_kA_/_m,"(coercivity, approximately_0_kA_/_m)","(0, 1)",1
<QNT>_decreased_from_<Value>_for_<Element>_to_<Value>_for_<Element>,coercivity_decreased_from_0_kA_/_m_for_y_=_0_to_0_kA_/_m_for_y_=_0,"(coercivity, 0_kA_/_m, y_=_0, 0_kA_/_m, y_=_0)","(0, 1), (1, 2), (0, 3), (3, 4)",2
<QNT>_to_<Value>,coercivity_decreases_to_0_kOe,"(coercivity_decreases, 0_kOe)","(0, 1)",2
<QNT>_for_<Class>,coercivity_for_(_Nd_Ce_)_Fe_Co_B,"(coercivity, (_Nd_Ce_)_Fe_Co_B)","(1, 0)",1
<QNT>_for_<Shape>,coercivity_for_(_Nd_Ce_)_Fe_Co_B_ribbon,"(coercivity, (_Nd_Ce_)_Fe_Co_B_ribbon)","(1, 0)",1
<QNT>_for_<Class>,coercivity_for_(_Nd_Dy_)_Fe_B_permanent_magnet,"(coercivity, (_Nd_Dy_)_Fe_B_permanent_magnet)","(1, 0)",1
<QNT>_for_<Class>,coercivity_for_diffusion_processed_magnet,"(coercivity, diffusion_processed_magnet)","(1, 0)",1
<QNT>_for_<Class>,coercivity_for_Fe_Nd_B_M,"(coercivity, Fe_Nd_B_M)","(1, 0)",1
<QNT>_for_<Class>,coercivity_for_hot_deformed_magnet,"(coercivity, hot_deformed_magnet)","(1, 0)",1
<QNT>_for_<Class>,coercivity_for_Pr_Cu_diffusion_processed_magnet,"(coercivity, Pr_Cu_diffusion_processed_magnet)","(1, 0)",1
<QNT>_for_<Shape>,coercivity_for_sample,"(coercivity, sample)","(1, 0)",1
<QNT>_for_<Class>,coercivity_for_sintered_magnet,"(coercivity, sintered_magnet)","(1, 0)",1
<QNT>_for_<Class>,coercivity_for_Sm_Zr_(_Fe_Co_)_Ti_magnet,"(coercivity, Sm_Zr_(_Fe_Co_)_Ti_magnet)","(1, 0)",1
<QNT>_for_<Class>,coercivity_for_SmFe,"(coercivity, SmFe)","(1, 0)",1
<QNT>_for_<Element>,coercivity_for_x_=_0,"(coercivity, x_=_0)","(1, 0)",1
<QNT>_<_<Value>,coercivity_H_<_0_kOe,"(coercivity_H, 0_kOe)","(0, 1)",1
<QNT>_=_<Value>,coercivity_H_=_0_kA_/_m,"(coercivity_H, 0_kA_/_m)","(0, 1)",1
<QNT>_=_<Value>,coercivity_H_=_0_kOe,"(coercivity_H, 0_kOe)","(0, 1)",1
<QNT>_for_<Class>,coercivity_H_for_M,"(coercivity_H, M)","(1, 0)",1
<QNT>_of_<Value>,coercivity_H_of_0_kA_/_m,"(coercivity_H, 0_kA_/_m)","(0, 1)",1
<QNT>_of_<Value>,coercivity_H_of_0_kOe,"(coercivity_H, 0_kOe)","(0, 1)",2
<QNT>_of_<Class>,coercivity_H_of_Nd_Fe_B,"(coercivity_H, Nd_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_H_of_Nd_Fe_B_flake,"(coercivity_H, Nd_Fe_B_flake)","(1, 0)",1
<QNT>_in_<Element>,coercivity_in_Fe,"(coercivity, Fe)","(1, 0)",1
<QNT>_in_<Class>,coercivity_in_Fe_B_Nd_Gd_Nb_Si_magnet,"(coercivity, Fe_B_Nd_Gd_Nb_Si_magnet)","(1, 0)",1
<QNT>_in_<Shape>,coercivity_in_Fe_B_Nd_Gd_Nb_Si_magnetic_rod,"(coercivity, Fe_B_Nd_Gd_Nb_Si_magnetic_rod)","(1, 0)",1
<QNT>_in_<Class>,coercivity_in_GBDP_magnet,"(coercivity, GBDP_magnet)","(1, 0)",1
<QNT>_in_<Shape>,coercivity_in_low_Ce_Nd_Ce_Fe_B_ribbon,"(coercivity, low_Ce_Nd_Ce_Fe_B_ribbon)","(1, 0)",1
<QNT>_in_<Class>,coercivity_in_magnet,"(coercivity, magnet)","(1, 0)",1
<QNT>_in_<Class>,coercivity_in_nanocomposite,"(coercivity, nanocomposite)","(1, 0)",1
<QNT>_in_<Element>,coercivity_in_Nd,"(coercivity, Nd)","(1, 0)",1
<QNT>_in_<Class>,coercivity_in_Nd_Fe_B,"(coercivity, Nd_Fe_B)","(1, 0)",1
<QNT>_in_<Shape>,coercivity_in_Nd_Fe_B_film,"(coercivity, Nd_Fe_B_film)","(1, 0)",1
<QNT>_in_<Element>,coercivity_in_Pr,"(coercivity, Pr)","(1, 0)",2
<QNT>_in_<Class>,coercivity_in_Pr_Cu,"(coercivity, Pr_Cu)","(1, 0)",2
<QNT>_in_<Shape>,coercivity_in_Pr_Cu_diffusion_processed_sample,"(coercivity, Pr_Cu_diffusion_processed_sample)","(1, 0)",2
<QNT>_in_<Class>,coercivity_in_recycled_magnet,"(coercivity, recycled_magnet)","(1, 0)",1
<QNT>_in_<Element>,coercivity_in_TM,"(coercivity, TM)","(1, 0)",1
<QNT>_in_<Class>,coercivity_in_Zr_Co,"(coercivity, Zr_Co)","(1, 0)",1
<QNT>_be_<Value>,coercivity_increase_be_about_0_kA_/_m,"(coercivity_increase, about_0_kA_/_m)","(0, 1)",1
<QNT>_be_<Value>,coercivity_increase_be_about_0_kOe,"(coercivity_increase, about_0_kOe)","(0, 1)",1
<QNT>_increased_from_<Value>_for_<Shape>_to_<Value>_for_<Shape>,coercivity_increased_from_0_kA_m_-_1_for_initial_sample_to_0_kA_m_-_1_for_sample,"(coercivity, 0_kA_m_-_1, initial_sample, 0_kA_m_-_1, sample)","(0, 1), (1, 2), (0, 3), (3, 4)",1
<QNT>_initially_increases_from_<Value>_to_<Value>,coercivity_initially_increases_from_0_kA_/_m_to_0_kA_/_m,"(coercivity, 0_kA_/_m, 0_kA_/_m)","(0, 1), (0, 2)",1
<QNT>_of_<Class>,coercivity_of_(_Nd_Dy_)_Fe_B,"(coercivity, (_Nd_Dy_)_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_(_Nd_Dy_)_Fe_B_nanoparticle,"(coercivity, (_Nd_Dy_)_Fe_B_nanoparticle)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_[_(_Nd_Pr_)_Ce_]_Fe_B_(_x_=_0_)_powder,"(coercivity, [_(_Nd_Pr_)_Ce_]_Fe_B_(_x_=_0_)_powder)","(1, 0)",1
<QNT>_of_<Value>,coercivity_of_~_0_kA_m_-_1,"(coercivity, ~_0_kA_m_-_1)","(0, 1)",1
<QNT>_of_<Value>,coercivity_of_~_0_T,"(coercivity, ~_0_T)","(0, 1)",2
<QNT>_of_<Value>,coercivity_of_0_0_T,"(coercivity, 0_0_T)","(0, 1)",2
<QNT>_of_<Value>_be_obtained_at_<Condition>,coercivity_of_0_kA_/_m_be_obtained_at_0_K,"(coercivity, 0_kA_/_m, 0_K)","(0, 1), (1, 2)",1
<QNT>_of_<Value>,coercivity_of_0_kA_m_-_1,"(coercivity, 0_kA_m_-_1)","(0, 1)",1
<QNT>_of_<Value>,coercivity_of_0_Oe,"(coercivity, 0_Oe)","(0, 1)",2
<QNT>_of_<Value>,coercivity_of_about_0_kA_/_m,"(coercivity, about_0_kA_/_m)","(0, 1)",1
<QNT>_of_<Class>,coercivity_of_alloy,"(coercivity, alloy)","(1, 0)",3
<QNT>_of_<Shape>,coercivity_of_alloy_powder,"(coercivity, alloy_powder)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_annealed_x_=_0_alloy,"(coercivity, annealed_x_=_0_alloy)","(1, 0)",1
<QNT>_of_<Value>,coercivity_of_approximately_0_MA_/_m,"(coercivity, approximately_0_MA_/_m)","(0, 1)",1
<QNT>_of_<Class>,coercivity_of_bulk_material,"(coercivity, bulk_material)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Co_Zr_B_nanocomposite,"(coercivity, Co_Zr_B_nanocomposite)","(1, 0)",2
<QNT>_of_<Class>,coercivity_of_DyF_EPD_coated_magnet,"(coercivity, DyF_EPD_coated_magnet)","(1, 0)",2
<QNT>_of_<Shape>,coercivity_of_exchange_coupled_Nd_Fe_B_/_Fe_multilayer_thin_film,"(coercivity, exchange_coupled_Nd_Fe_B_/_Fe_multilayer_thin_film)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Fe_Nd_B,"(coercivity, Fe_Nd_B)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Fe_Nd_B_alloy,"(coercivity, Fe_Nd_B_alloy)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Fe_Nd_B_V,"(coercivity, Fe_Nd_B_V)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Fe_Pt_B,"(coercivity, Fe_Pt_B)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_film,"(coercivity, film)","(1, 0)",5
<QNT>_of_<Class>,coercivity_of_GBDP_magnet,"(coercivity, GBDP_magnet)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_grain,"(coercivity, grain)","(1, 0)",2
<QNT>_of_<QNT>,coercivity_of_H,"(coercivity, H)","(0, 1)",14
<QNT>_of_<QNT>_=_<Value>,coercivity_of_H_=_0_kA_/_m,"(coercivity, H, 0_kA_/_m)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>_=_<Value>,coercivity_of_H_=_0_kA_m_-_1,"(coercivity, H, 0_kA_m_-_1)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>_=_<Value>,coercivity_of_H_=_0_kOe,"(coercivity, H, 0_kOe)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>,coercivity_of_ha,"(coercivity, ha)","(0, 1)",1
<QNT>_of_<Class>,coercivity_of_hot_deformed_Nd_Fe_B_magnet,"(coercivity, hot_deformed_Nd_Fe_B_magnet)","(1, 0)",3
<QNT>_of_<Class>,coercivity_of_hot_pressed,"(coercivity, hot_pressed)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_hot_pressed_magnet,"(coercivity, hot_pressed_magnet)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_hot_pressed_sample,"(coercivity, hot_pressed_sample)","(1, 0)",1
<QNT>_of_<QNT>,coercivity_of_M,"(coercivity, M)","(1, 0)",2
<QNT>_of_<Class>,coercivity_of_M_type_hexaferrite,"(coercivity, M_type_hexaferrite)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_melt_spun_Nd_Fe_B,"(coercivity, melt_spun_Nd_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_melt_spun_Nd_Fe_B_powder,"(coercivity, melt_spun_Nd_Fe_B_powder)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_melt_spun_ribbon,"(coercivity, melt_spun_ribbon)","(1, 0)",2
<QNT>_of_<Class>,coercivity_of_melt_spun_SmCo_ribbon,"(coercivity, melt_spun_SmCo_ribbon)","(1, 0)",1
<QNT>_of_<Value>,coercivity_of_more_than_0_kOe,"(coercivity, more_than_0_kOe)","(0, 1)",1
<QNT>_of_<Class>,coercivity_of_nanocomposite,"(coercivity, nanocomposite)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Dy_Al_diffusion_processed_magnet,"(coercivity, Nd_Dy_Al_diffusion_processed_magnet)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Fe,"(coercivity, Nd_Fe)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Fe_B,"(coercivity, Nd_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Fe_B_/_α_Fe_nanocomposite_magnet,"(coercivity, Nd_Fe_B_/_α_Fe_nanocomposite_magnet)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Fe_B_Hf,"(coercivity, Nd_Fe_B_Hf)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Fe_B_Hf_alloy,"(coercivity, Nd_Fe_B_Hf_alloy)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_Nd_Fe_B_Hf_melt_spun_ribbon,"(coercivity, Nd_Fe_B_Hf_melt_spun_ribbon)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Fe_B_hot_deformed_magnet,"(coercivity, Nd_Fe_B_hot_deformed_magnet)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Fe_B_magnet,"(coercivity, Nd_Fe_B_magnet)","(1, 0)",3
<QNT>_of_<Class>,coercivity_of_Nd_Fe_B_permanent_magnet,"(coercivity, Nd_Fe_B_permanent_magnet)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Nd_Fe_B_sintered_magnet,"(coercivity, Nd_Fe_B_sintered_magnet)","(1, 0)",4
<QNT>_of_<Class>,coercivity_of_Nd_Fe_Co_B_Ga,"(coercivity, Nd_Fe_Co_B_Ga)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_Nd_Fe_Co_B_Ga_powder,"(coercivity, Nd_Fe_Co_B_Ga_powder)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_Nd_Fe_MCB_ribbon,"(coercivity, Nd_Fe_MCB_ribbon)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_NdFeB_sintered_magnet,"(coercivity, NdFeB_sintered_magnet)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_original_N48M_magnet,"(coercivity, original_N48M_magnet)","(1, 0)",1
<QNT>_of_<Value>,coercivity_of_over_0_T,"(coercivity, over_0_T)","(0, 1)",1
<QNT>_of_<Shape>,coercivity_of_particle,"(coercivity, particle)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_permanent_magnet,"(coercivity, permanent_magnet)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_powder,"(coercivity, powder)","(1, 0)",4
<QNT>_of_<Class>,coercivity_of_Pr_Co_C,"(coercivity, Pr_Co_C)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_Pr_Co_C_ribbon,"(coercivity, Pr_Co_C_ribbon)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Pr_Fe_B,"(coercivity, Pr_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_R_Fe_B,"(coercivity, R_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_sample,"(coercivity, sample)","(1, 0)",9
<QNT>_of_<Shape>,coercivity_of_sample_SrAl_Fe_O,"(coercivity, sample_SrAl_Fe_O)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_single_phase,"(coercivity, single_phase)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_sintered_Nd_Fe_B_magnet,"(coercivity, sintered_Nd_Fe_B_magnet)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Sm_Fe_Al,"(coercivity, Sm_Fe_Al)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_Sm_Fe_C,"(coercivity, Sm_Fe_C)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_Sm_Fe_Cu_Ga_C_ribbon,"(coercivity, Sm_Fe_Cu_Ga_C_ribbon)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_SrAl_Fe_O,"(coercivity, SrAl_Fe_O)","(1, 0)",2
<QNT>_of_<Shape>,coercivity_of_surface,"(coercivity, surface)","(1, 0)",1
<QNT>_of_<Shape>,coercivity_of_this_sample,"(coercivity, this_sample)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_x_=_0_alloy,"(coercivity, x_=_0_alloy)","(1, 0)",1
<QNT>_of_<QNT>,coercivity_of_α,"(coercivity, α)","(0, 1)",1
<QNT>_of_<Element>,coercivity_of_α_Fe,"(coercivity, α_Fe)","(1, 0)",1
<QNT>_of_<Class>,coercivity_of_α_Fe_/_Nd_Fe_B_nanocomposite_magnet,"(coercivity, α_Fe_/_Nd_Fe_B_nanocomposite_magnet)","(1, 0)",1
<QNT>_of_<QNT>,coercivity_of_μ_H,"(coercivity, μ_H)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,coercivity_of_μ_H_=_0_T,"(coercivity, μ_H, 0_T)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_),coercivity_temperature_coefficient_(_β_),"(coercivity_temperature_coefficient, β)","(0, 1)",1
<QNT>_(_<QNT>_)_of_<Class>_be_<Value>,coercivity_temperature_coefficient_(_β_)_of_recycled_magnet_be_0_%_/_K,"(coercivity_temperature_coefficient, β, recycled_magnet, 0_%_/_K)","(0, 1), (2, 0), (1, 3)",1
<QNT>_of_<Value>,coercivity_temperature_coefficient_of_0_%_/_K,"(coercivity_temperature_coefficient, 0_%_/_K)","(0, 1)",1
<QNT>_=_<Value>,coercivity_temperature_coefficient_β_=_0_%_/_°C,"(coercivity_temperature_coefficient_β, 0_%_/_°C)","(0, 1)",1
<QNT>_to_<Value>,coercivity_to_0_kA_/_m,"(coercivity, 0_kA_/_m)","(0, 1)",1
